# Discriminador fractura/contacto sobre los picos del DI (ventana 14, umbral 1.5).
# Fractura: el dámper cae, la percusión cae, la velocidad aumenta.
# Contacto: el dámper NO cae, la percusión se desestabiliza, la rotación varía fuerte, la velocidad pierde su patrón.
# Sin firma clara el evento queda INDETERMINADO; no se le asigna clase.
# conteo: {'fractura': 468, 'contacto': 1480, 'indeterminado': 2651}
# contraste contra sondajes: 1 de 1 evento(s) con clase definida coinciden con la etiqueta de sondaje; 1 quedaron indeterminados y no cuentan ni a favor ni en contra. 4597 pico(s) del MWD no tienen ninguna discontinuidad de sondaje a menos de 3 m: el contraste mide solo la vecindad de los sondajes, no el caserón entero.
# generado: 2026-08-26 04:24
pozo,caseron,largo_m,este,norte,cota,di,clase,delta_pd_rel,delta_pp_rel,delta_vel_rel,cv_pp_rel,cv_pr_rel,cv_vel_rel,evidencia,motivo
PCS_1043_AUX1_HU6,PCS_1043,26.167,377537.77933089365,6958030.9309142865,355.71780560592555,2.303,contacto,-0.0027,-0.013,0.0076,18.0532,1.5764,2.3932,el dámper no cae (Δ -0%) · la percusión se desestabiliza (CV ×18.1) · la rotación varía fuerte (CV ×1.6) · la velocidad pierde su patrón (CV ×2.4),
PCS_1043_AUX1_HU6,PCS_1043,27.907,377537.4885823858,6958031.4996319795,357.3363045455942,2.204,contacto,0.0272,-0.0112,-0.1687,15.2385,1.0024,2.6059,el dámper no cae (Δ +3%) · la percusión se desestabiliza (CV ×15.2) · la velocidad pierde su patrón (CV ×2.6),
PCS_1043_AUX1_HU6,PCS_1043,29.665,377537.1948261348,6958032.074232958,358.97154657774223,2.311,indeterminado,0.0386,0.0007,-0.1478,1.273,1.2982,2.469,el dámper no cae (Δ +4%) · la velocidad pierde su patrón (CV ×2.5),Sin firma clara: el dámper no cae lo suficiente para ser fractura; la firma de contacto solo reúne 2 de 4 condiciones.
PCS_1043_AUX1_HU6,PCS_1043,31.432,377536.89956601214,6958032.65177558,360.61516015612995,2.662,contacto,-0.0825,-0.0119,0.1661,14.2428,1.6199,1.7797,el dámper no cae (Δ -8%) · la percusión se desestabiliza (CV ×14.2) · la rotación varía fuerte (CV ×1.6) · la velocidad pierde su patrón (CV ×1.8),
PCS_1043_AUX2_H1,PCS_1043,0.02,377540.40724264446,6958024.562848175,331.385496257828,7.349,indeterminado,,,,,,,,Evento no evaluable: no hay puntos suficientes en el evento o en su tramo de referencia (típico cerca del collar).
PCS_1043_AUX2_H1,PCS_1043,13.778,377536.33463003905,6958029.837098412,343.42117201771805,1.851,contacto,0.0422,-0.0381,-0.0006,1.4953,1.5341,1.8689,el dámper no cae (Δ +4%) · la rotación varía fuerte (CV ×1.5) · la velocidad pierde su patrón (CV ×1.9),
PCS_1043_AUX2_H1,PCS_1043,19.046,377534.77520837856,6958031.8566325195,348.0296863296166,1.607,indeterminado,0.1228,0.0026,-0.0937,1.7104,1.0815,1.8173,la percusión se desestabiliza (CV ×1.7) · la velocidad pierde su patrón (CV ×1.8),Sin firma clara: el dámper no cae lo suficiente para ser fractura; el dámper se mueve demasiado para ser contacto.
PCS_1043_AUX2_H1,PCS_1043,20.814,377534.25184894504,6958032.53441086,349.5763555216129,2.641,contacto,-0.0967,-0.0562,0.0045,7.9961,2.511,2.9996,el dámper no cae (Δ -10%) · la percusión se desestabiliza (CV ×8.0) · la rotación varía fuerte (CV ×2.5) · la velocidad pierde su patrón (CV ×3.0),
PCS_1043_AUX2_H1,PCS_1043,22.223,377533.8347598943,6958033.074563396,350.8089668855965,1.583,indeterminado,0.2628,0.0345,0.0305,0.2353,1.6844,0.663,la rotación varía fuerte (CV ×1.7),Sin firma clara: el dámper no cae lo suficiente para ser fractura; el dámper se mueve demasiado para ser contacto.
PCS_1043_AUX2_H1,PCS_1043,24.325,377533.21253052255,6958033.8803835735,352.6478235833206,2.387,indeterminado,-0.1228,-0.0125,0.0158,1.1762,1.3168,0.9527,el dámper cae 12%,Sin firma clara: el dámper se mueve demasiado para ser contacto; la firma de fractura solo reúne una condición.
PCS_1043_AUX2_H1,PCS_1043,26.083,377532.6921312668,6958034.554328326,354.18574464640295,2.234,indeterminado,-0.087,-0.0109,-0.1005,1.1084,0.8334,1.0962,el dámper no cae (Δ -9%),Sin firma clara: el dámper no cae lo suficiente para ser fractura; la firma de contacto solo reúne 1 de 4 condiciones.
PCS_1043_AUX2_H1,PCS_1043,27.822,377532.1773563489,6958035.220989263,355.70704426454864,2.644,indeterminado,-0.0018,-0.063,-0.0184,1.7189,0.8889,1.3217,el dámper no cae (Δ -0%) · la percusión se desestabiliza (CV ×1.7),Sin firma clara: el dámper no cae lo suficiente para ser fractura; la firma de contacto solo reúne 2 de 4 condiciones.
PCS_1043_AUX2_H1,PCS_1043,29.576,377531.6581411643,6958035.893400581,357.24146607606536,2.383,indeterminado,-0.0125,-0.0133,-0.01,1.1596,1.3488,1.4087,el dámper no cae (Δ -1%),Sin firma clara: el dámper no cae lo suficiente para ser fractura; la firma de contacto solo reúne 1 de 4 condiciones.
PCS_1043_AUX2_H1,PCS_1043,31.35,377531.1330056241,6958036.573479075,358.79338414541013,3.31,indeterminado,0.0599,-0.0666,-0.0557,1.6596,1.4458,1.1246,el dámper no cae (Δ +6%) · la percusión se desestabiliza (CV ×1.7),Sin firma clara: el dámper no cae lo suficiente para ser fractura; la firma de contacto solo reúne 2 de 4 condiciones.
PCS_1043_AUX2_H2,PCS_1043,0.257,377540.4854098723,6958024.490985715,331.7493212052302,3.449,indeterminado,,,,,,,,Evento no evaluable: no hay puntos suficientes en el evento o en su tramo de referencia (típico cerca del collar).
PCS_1043_AUX2_H2,PCS_1043,5.5,377539.1323256528,6958026.296795582,336.63166003411027,2.732,indeterminado,0.1595,0.0483,-0.1521,1.0893,1.1093,1.4056,,Sin firma clara: el dámper no cae lo suficiente para ser fractura; el dámper se mueve demasiado para ser contacto.
PCS_1043_AUX2_H2,PCS_1043,6.91,377538.7684407111,6958026.782432033,337.9446674246731,5.096,contacto,0.0635,-0.3479,-0.5301,3.5357,5.0485,4.366,el dámper no cae (Δ +6%) · la percusión se desestabiliza (CV ×3.5) · la rotación varía fuerte (CV ×5.0) · la velocidad pierde su patrón (CV ×4.4),
PCS_1043_AUX2_H2,PCS_1043,19.809,377535.43953868037,6958031.225144503,349.9563570210347,3.741,indeterminado,0.0814,0.4371,-0.7198,0.595,0.4596,0.8038,el dámper no cae (Δ +8%),Sin firma clara: el dámper no cae lo suficiente para ser fractura; la firma de contacto solo reúne 1 de 4 condiciones.
PCS_1043_AUX2_HU6,PCS_1043,0.02,377541.1539262865,6958023.81662603,331.1765723620366,4.281,indeterminado,,,,,,,,Evento no evaluable: no hay puntos suficientes en el evento o en su tramo de referencia (típico cerca del collar).
PCS_1043_AUX2_HU6,PCS_1043,1.724,377541.01873829943,6958024.139962648,332.84413760755643,3.906,contacto,0.0757,-0.0682,-0.1959,8.6566,2.7673,2.4159,el dámper no cae (Δ +8%) · la percusión se desestabiliza (CV ×8.7) · la rotación varía fuerte (CV ×2.8) · la velocidad pierde su patrón (CV ×2.4),
PCS_1043_AUX2_HU6,PCS_1043,3.422,377540.8840263264,6958024.462160758,334.5058311444653,4.757,indeterminado,0.2304,0.1185,0.0879,5.8925,2.1947,2.3518,la percusión se desestabiliza (CV ×5.9) · la rotación varía fuerte (CV ×2.2) · la velocidad pierde su patrón (CV ×2.4),Sin firma clara: el dámper no cae lo suficiente para ser fractura; el dámper se mueve demasiado para ser contacto.
PCS_1043_AUX2_HU6,PCS_1043,7.088,377540.59318174864,6958025.157789891,338.0934451057773,3.975,indeterminado,0.2189,-0.146,-0.4746,16.2701,2.4956,16.2217,la percusión cae 15% · la percusión se desestabiliza (CV ×16.3) · la rotación varía fuerte (CV ×2.5) · la velocidad pierde su patrón (CV ×16.2),Sin firma clara: el dámper no cae lo suficiente para ser fractura; el dámper se mueve demasiado para ser contacto.
PCS_1043_AUX2_HU6,PCS_1043,20.209,377539.55221838114,6958027.647519801,350.93389321990037,3.682,contacto,-0.0058,-0.0555,0.1208,2.3251,2.6054,1.2778,el dámper no cae (Δ -1%) · la percusión se desestabiliza (CV ×2.3) · la rotación varía fuerte (CV ×2.6),
PCS_1043_AUX2_HU6,PCS_1043,21.071,377539.4838310309,6958027.811085626,351.77746202367854,2.645,indeterminado,-0.0069,-0.0535,-0.0316,1.5595,0.7936,1.3727,el dámper no cae (Δ -1%) · la percusión se desestabiliza (CV ×1.6),Sin firma clara: el dámper no cae lo suficiente para ser fractura; la firma de contacto solo reúne 2 de 4 condiciones.
PCS_1043_AUX2_HU6,PCS_1043,24.498,377539.211947679,6958028.461364141,355.13118625865303,2.034,indeterminado,-0.0235,-0.0189,0.0382,1.953,1.0407,1.2773,el dámper no cae (Δ -2%) · la percusión se desestabiliza (CV ×2.0),Sin firma clara: el dámper no cae lo suficiente para ser fractura; la firma de contacto solo reúne 2 de 4 condiciones.
PCS_1043_AUX2_HU6,PCS_1043,25.332,377539.14578172757,6958028.619616923,355.94735375557997,1.776,indeterminado,0.0526,-0.0031,-0.0614,1.055,1.0386,1.0768,el dámper no cae (Δ +5%),Sin firma clara: el dámper no cae lo suficiente para ser fractura; la firma de contacto solo reúne 1 de 4 condiciones.
