# RQD de Deere: porcentaje del metraje en tramos continuos de 10 cm o más sin discontinuidad, con la discontinuidad detectada por DI > 1.5.
# Indicador AGREGADO por pozo y por caserón, orientado a tronadura. No reemplaza al DI, que sigue siendo la variable de trabajo punto a punto en el resto del pipeline.
# pozos no evaluables: 3
# generado: 2026-08-26 04:24
nivel,clave,caseron,rqd_mwd,largo_m,n_tramos_validos,n_tramos_descartados
pozo,PCC_0042_PR01_TH_P23_H22,PCC_0042,93.69,18.405,7.0,0.0
pozo,PCC_0042_PR01_TH_P23_H8,PCC_0042,93.26,17.018,5.0,0.0
pozo,PCC_0042_PR01_TH_P23_H9,PCC_0042,92.4,21.221,6.0,1.0
pozo,PCC_0042_PR01_TH_P23_HU24,PCC_0042,89.5,27.411,13.0,2.0
pozo,PCC_0042_PR01_TH_P24_H10,PCC_0042,90.32,27.437,6.0,3.0
pozo,PCC_0042_PR01_TH_P24_H11,PCC_0042,90.11,29.436,8.0,0.0
pozo,PCC_0042_PR01_TH_P24_H12,PCC_0042,91.5,34.753,11.0,1.0
pozo,PCC_0042_PR01_TH_P24_H13,PCC_0042,88.22,33.372,14.0,3.0
pozo,PCC_0042_PR01_TH_P24_H14,PCC_0042,89.78,33.133,12.0,2.0
pozo,PCC_0042_PR01_TH_P24_H15,PCC_0042,90.94,33.238,9.0,1.0
pozo,PCC_0042_PR01_TH_P24_H16,PCC_0042,93.09,33.386,9.0,1.0
pozo,PCC_0042_PR01_TH_P24_H18,PCC_0042,92.56,35.205,13.0,1.0
pozo,PCC_0042_PR01_TH_P24_H19,PCC_0042,92.07,36.14,14.0,1.0
pozo,PCC_0042_PR01_TH_P24_H21,PCC_0042,90.04,22.496,10.0,1.0
pozo,PCC_0042_PR01_TH_P24_H22,PCC_0042,93.33,17.835,8.0,0.0
pozo,PCC_0042_PR01_TH_P24_H8,PCC_0042,95.03,16.345,4.0,0.0
pozo,PCC_0042_PR01_TH_P24_H9,PCC_0042,88.92,20.83,9.0,3.0
pozo,PCC_0042_PR01_TH_P24_HU24,PCC_0042,94.45,34.773,8.0,0.0
pozo,PCC_0042_PR01_TH_P24_HU25,PCC_0042,91.66,28.181,7.0,0.0
pozo,PCC_0042_PR01_TH_P25_H10,PCC_0042,95.59,32.579,4.0,0.0
pozo,PCC_0042_PR01_TH_P25_H11,PCC_0042,97.18,33.023,3.0,0.0
pozo,PCC_0042_PR01_TH_P25_H12,PCC_0042,94.33,33.023,8.0,1.0
pozo,PCC_0042_PR01_TH_P25_H15,PCC_0042,94.4,17.046,6.0,0.0
pozo,PCC_0042_PR01_TH_P25_H2,PCC_0042,94.15,18.299,8.0,1.0
pozo,PCC_0042_PR01_TH_P25_H3,PCC_0042,88.61,25.204,11.0,2.0
pozo,PCC_0042_PR01_TH_P25_H4,PCC_0042,87.49,31.684,13.0,3.0
pozo,PCC_0042_PR01_TH_P25_H5,PCC_0042,91.16,31.293,13.0,2.0
pozo,PCC_0042_PR01_TH_P25_H6,PCC_0042,94.07,29.567,6.0,2.0
pozo,PCC_0042_PR01_TH_P25_H7,PCC_0042,94.19,31.372,6.0,1.0
pozo,PCC_0042_PR01_TH_P25_H8,PCC_0042,94.16,31.339,7.0,1.0
pozo,PCC_0042_PR01_TH_P25_H9,PCC_0042,93.73,31.463,10.0,1.0
pozo,PCC_0042_PR01_TH_P25_HU17,PCC_0042,93.99,22.265,4.0,1.0
pozo,PCC_0042_PR01_TH_P25_HU18,PCC_0042,94.16,29.466,6.0,1.0
pozo,PCC_0042_PR01_TH_P26_H1,PCC_0042,90.37,31.383,11.0,0.0
pozo,PCC_0042_PR01_TH_P26_H2,PCC_0042,89.26,31.335,10.0,1.0
pozo,PCC_0042_PR01_TH_P26_H3,PCC_0042,90.47,31.038,10.0,0.0
pozo,PCC_0042_PR01_TH_P26_H4,PCC_0042,91.75,29.887,9.0,0.0
pozo,PCC_0042_PR01_TH_P26_H6,PCC_0042,91.4,30.464,7.0,1.0
pozo,PCC_0042_PR01_TH_P26_H7,PCC_0042,96.9,26.077,5.0,0.0
pozo,PCC_0042_PR01_TH_P26_H9,PCC_0042,90.32,18.976,8.0,0.0
pozo,PCC_0042_PR01_TH_P27_H2,PCC_0042,93.41,31.29,8.0,0.0
pozo,PCC_0042_PR01_TH_P27_H3,PCC_0042,88.16,29.783,13.0,0.0
pozo,PCC_0042_PR01_TH_P27_H4,PCC_0042,85.02,28.015,16.0,1.0
pozo,PCC_0042_PR01_TH_P27_H5,PCC_0042,84.65,29.711,17.0,3.0
pozo,PCC_0042_PR01_TH_P27_H7,PCC_0042,94.75,25.835,6.0,1.0
pozo,PCC_0042_PR01_TH_P27_HU10,PCC_0042,89.01,30.931,13.0,0.0
pozo,PCC_0042_PR01_TH_P28_H10,PCC_0042,92.51,32.417,10.0,0.0
pozo,PCC_0042_PR01_TH_P28_H11,PCC_0042,92.55,32.633,12.0,1.0
pozo,PCC_0042_PR01_TH_P28_H12,PCC_0042,91.85,33.413,9.0,2.0
pozo,PCC_0042_PR01_TH_P28_H13,PCC_0042,93.13,29.035,7.0,1.0
pozo,PCC_0042_PR01_TH_P28_H14,PCC_0042,92.29,21.057,10.0,1.0
pozo,PCC_0042_PR01_TH_P28_H15,PCC_0042,90.48,15.971,6.0,0.0
pozo,PCC_0042_PR01_TH_P28_H2,PCC_0042,90.02,15.725,6.0,0.0
pozo,PCC_0042_PR01_TH_P28_H3,PCC_0042,91.65,22.694,7.0,0.0
pozo,PCC_0042_PR01_TH_P28_H4,PCC_0042,91.78,31.137,9.0,3.0
pozo,PCC_0042_PR01_TH_P28_H6,PCC_0042,89.71,32.215,9.0,2.0
pozo,PCC_0042_PR01_TH_P28_H7,PCC_0042,90.31,30.554,9.0,4.0
pozo,PCC_0042_PR01_TH_P28_H8,PCC_0042,89.09,32.232,16.0,0.0
pozo,PCC_0042_PR01_TH_P28_HU17,PCC_0042,90.01,32.932,9.0,3.0
pozo,PCC_0042_PR01_TH_P28_HU18,PCC_0042,94.87,32.18,7.0,1.0
pozo,PCC_0042_PR01_TH_P29_H10,PCC_0042,91.04,33.358,15.0,0.0
pozo,PCC_0042_PR01_TH_P29_H11,PCC_0042,92.46,33.375,10.0,2.0
pozo,PCC_0042_PR01_TH_P29_H12,PCC_0042,87.59,34.967,18.0,1.0
pozo,PCC_0042_PR01_TH_P29_H14,PCC_0042,90.09,23.018,11.0,0.0
pozo,PCC_0042_PR01_TH_P29_H15,PCC_0042,92.93,17.452,4.0,1.0
pozo,PCC_0042_PR01_TH_P29_H2,PCC_0042,90.13,16.601,7.0,1.0
pozo,PCC_0042_PR01_TH_P29_H3,PCC_0042,94.18,23.22,6.0,1.0
pozo,PCC_0042_PR01_TH_P29_H4,PCC_0042,90.32,31.969,12.0,1.0
pozo,PCC_0042_PR01_TH_P29_H5,PCC_0042,91.0,29.331,6.0,2.0
pozo,PCC_0042_PR01_TH_P29_H7,PCC_0042,91.7,32.91,8.0,4.0
pozo,PCC_0042_PR01_TH_P29_H8,PCC_0042,90.04,26.056,10.0,0.0
pozo,PCC_0042_PR01_TH_P29_H9,PCC_0042,89.91,20.83,8.0,1.0
pozo,PCC_0042_PR01_TH_P29_HU17,PCC_0042,91.84,31.972,7.0,3.0
pozo,PCC_0042_PR01_TH_P31_H10,PCC_0042,87.99,34.81,15.0,3.0
pozo,PCC_0042_PR01_TH_P31_H11,PCC_0042,91.58,35.146,12.0,2.0
pozo,PCC_0042_PR01_TH_P31_H12,PCC_0042,90.75,35.735,10.0,2.0
pozo,PCC_0042_PR01_TH_P31_H13,PCC_0042,92.38,34.915,9.0,1.0
pozo,PCC_0042_PR01_TH_P31_H14,PCC_0042,88.4,29.256,12.0,2.0
pozo,PCC_0042_PR01_TH_P31_H15,PCC_0042,89.22,22.6,11.0,3.0
pozo,PCC_0042_PR01_TH_P31_H16,PCC_0042,94.98,18.195,5.0,0.0
pozo,PCC_0042_PR01_TH_P31_H3,PCC_0042,90.8,20.333,9.0,0.0
pozo,PCC_0042_PR01_TH_P31_H4,PCC_0042,93.26,26.51,6.0,2.0
